epoch,accuracy,loss,val_accuracy,val_loss
0,0.4691392183303833,1.2119026184082031,0.530259370803833,1.1358197927474976
1,0.6460005640983582,0.8701532483100891,0.5417867302894592,1.1269506216049194
2,0.7204539179801941,0.710993766784668,0.559077799320221,1.0565217733383179
3,0.7802380323410034,0.5772597193717957,0.5561959743499756,1.123335838317871
4,0.817879855632782,0.4852254092693329,0.5446686148643494,1.2689357995986938
5,0.8557984828948975,0.4027036428451538,0.5878962278366089,1.3288569450378418
6,0.8751729726791382,0.33709225058555603,0.6023054718971252,1.3622756004333496
7,0.9009133577346802,0.2649590075016022,0.5878962278366089,1.5797226428985596
8,0.9158594012260437,0.2362678050994873,0.5417867302894592,1.8048855066299438
9,0.9324660897254944,0.19044546782970428,0.590778112411499,1.6684883832931519
10,0.9415997862815857,0.1642933189868927,0.5706051588058472,1.958467721939087
11,0.9487960338592529,0.1501389890909195,0.530259370803833,2.1587400436401367
12,0.9570993781089783,0.13573943078517914,0.5533141493797302,2.135618209838867
13,0.9609742760658264,0.12369237840175629,0.5936599373817444,2.0082831382751465
14,0.949903130531311,0.14232982695102692,0.579250693321228,2.111964464187622
15,0.9518405795097351,0.14007124304771423,0.5504322648048401,2.422441005706787
16,0.9604207277297974,0.11080432683229446,0.5417867302894592,2.422654628753662
17,0.9523941278457642,0.1366233229637146,0.559077799320221,2.3801567554473877
18,0.9595903754234314,0.11467176675796509,0.5504322648048401,2.3805456161499023
19,0.9706615209579468,0.08936001360416412,0.5389049053192139,2.465989112854004
20,0.9645723700523376,0.10672184079885483,0.5446686148643494,2.7042481899261475
21,0.972045361995697,0.08415088057518005,0.5706051588058472,2.5291013717651367
22,0.9725989699363708,0.0776088610291481,0.5446686148643494,2.883948802947998
23,0.9717686176300049,0.07815282791852951,0.5331411957740784,2.7587592601776123
24,0.9778577089309692,0.060002777725458145,0.5389049053192139,2.714756965637207
